Meal Number,Meal Name,Calories,Ingredients,Weight (g),Volume,Protein (g),Carbohydrates (g),Fat (g),Meal Type,Sensitivity,Meal Category,Category
2,فول مدمس,400,"فول (200g), زيت (10g), ليمون (10g)",220,,20,60,10,High Protein,Normal,Main Course,الفطار
3,كشري,500,"معكرونة (50g), أرز (50g), عدس (50g), صلصة طماطم (50g), بصل (30g)",180,,15,85,5,High Carbohydrate,Normal,Main Course,الغداء
4,ملوخية,300,"ملوخية (200g), دجاج (100g), زيت (10g)",310,,25,20,10,Low Calorie,Normal,Main Course,العشاء
5,بسبوسة,450,"سميد (200g), سكر (100g), زبدة (50g)",250,,5,80,10,High Calorie,Normal,Snack,السناكس
6,طعمية,350,"فول مدمس (200g), بقدونس (50g), بصل (50g), زيت للقلي (50g)",350,,15,40,20,High Protein,Normal,Main Course,الفطار
7,كبدة,400,"كبدة (200g), بصل (50g), زيت (20g)",270,,30,10,20,High Protein,Normal,Main Course,الغداء
8,محشي,350,"ورق عنب (100g), أرز (50g), طماطم (50g), بقدونس (20g), زيت (10g)",230,,10,60,10,Low Calorie,Normal,Main Course,العشاء
9,شاورما دجاج,500,"دجاج (200g), خبز (50g), طماطم (20g), خس (20g), مايونيز (10g)",300,,30,40,20,High Protein,Normal,Snack,السناكس
10,كنافة,600,"كنافة (200g), سكر (100g), زبدة (50g)",350,,10,80,20,High Calorie,Normal,Dessert,السناكس
11,بطاطس محمرة,300,"بطاطس (200g), زيت (20g)",220,,5,45,10,Low Calorie,Normal,Side Dish,السناكس
12,سمك مشوي,400,"سمك (200g), زيت (20g), ليمون (10g)",230,,30,0,15,High Protein,Normal,Main Course,الغداء
13,بيتزا مصرية,600,"عجينة (200g), صلصة طماطم (50g), جبنة (100g), زيتون (20g), زيت (10g)",380,,20,70,25,High Calorie,Normal,Main Course,العشاء
14,حمام محشي,500,"حمام (200g), أرز (50g), زيت (20g), بهارات (10g)",280,,25,50,15,High Protein,Normal,Main Course,الغداء
15,كريم كراميل,350,"سكر (100g), حليب (200g), بيض (50g)",350,,10,60,10,High Calorie,Normal,Dessert,السناكس
16,سلطة فتوش,200,"خبز (50g), خس (50g), طماطم (50g), خيار (50g), زيت (10g), ليمون (10g)",220,,5,30,10,Low Calorie,Normal,Salad,السناكس
17,شوربة عدس,250,"عدس (200g), بصل (50g), زيت (10g), ماء (200g)",460,,15,35,5,Low Calorie,Normal,Soup,الغداء
18,بابا غنوج,300,"باذنجان (200g), طحينة (50g), زيت (10g), ليمون (10g)",270,,10,20,15,Low Calorie,Normal,Appetizer,العشاء
19,مكرونة بالبشاميل,600,"معكرونة (200g), حليب (200g), جبنة (100g), زيت (20g)",520,,20,70,25,High Calorie,Normal,Main Course,الغداء
20,رز باللبن,350,"رز (200g), حليب (200g), سكر (50g)",450,,10,60,10,High Carbohydrate,Normal,Dessert,السناكس
21,مشويات مشكلة,700,"كباب (100g), كفتة (100g), دجاج (100g), زيت (20g)",320,,40,0,30,High Protein,Normal,Main Course,العشاء
22,شاورما لحم,600,"لحم (200g), خبز (50g), طماطم (20g), خس (20g), مايونيز (10g)",300,,30,40,20,High Protein,Normal,Snack,السناكس
23,سمبوسة,350,"عجينة (100g), لحم (100g), بصل (50g), زيت للقلي (50g)",300,,15,40,20,High Protein,Normal,Appetizer,الفطار
24,كبدة بالبصل,400,"كبدة (200g), بصل (100g), زيت (20g)",320,,30,10,20,High Protein,Normal,Main Course,الغداء
25,بطاطس بالكمون,300,"بطاطس (200g), زيت (20g), كمون (5g)",225,,5,45,10,Low Calorie,Normal,Side Dish,الجانبية
26,سلطة طماطم,200,"طماطم (200g), خيار (50g), زيت (10g), ليمون (10g)",270,,5,30,10,Low Calorie,Normal,Salad,الفطار
27,شوربة خضار,250,"خضار مشكلة (200g), ماء (200g), زيت (10g)",460,,10,35,5,Low Calorie,Normal,Soup,العشاء
28,محشي كوسة,350,"كوسة (200g), أرز (50g), طماطم (50g), زيت (10g)",270,,10,50,10,Low Calorie,Normal,Main Course,الغداء
29,أومليت,400,"بيض (200g), زيت (20g), جبنة (50g)",220,,20,10,25,High Protein,Normal,Main Course,الفطار
30,بان كيك,500,"دقيق (200g), حليب (200g), سكر (50g), زبدة (20g)",350,,10,70,20,High Carbohydrate,Normal,Dessert,السناكس
